activation,checkpoint,condition_number,energy_rank_90,energy_rank_95,energy_rank_99,energy_rank_999,energy_rank_9999,energy_top1,energy_top16,energy_top32,energy_top4,energy_top8,frobenius_norm,graft_id,graft_status,matrix_name,rank_full,run_dir,scale,seed,shape,spectral_norm,stable_rank,target
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,1.923159974734041,86,91,95,96,96,0.0335515046990227,0.20030342390374997,0.37113236742659217,0.06769304424303049,0.11240261904976351,16.618446502343808,2,accepted,up,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.011240573599934578,7,"[96, 25889]",3.0440124497385344,29.80492258009306,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,985.6233688562753,2,5,21,39,67,0.8658993429555184,0.9841640030964078,0.997618380812877,0.9467039485229559,0.9659702630507809,1.4414703143653405,2,accepted,down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.011240573599934578,7,"[25889, 96]",1.3413416436144614,1.1548686439543474,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,3123113.6730345185,1,1,4,16,27,0.9641924338931976,0.999007462986325,0.9999680575643674,0.9916419421317302,0.99573005840546,3.904772907979247,2,accepted,effective_up_down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.011240573599934578,7,"[96, 96]",3.8342254104557125,1.037137364750125,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,1.9070390053145172,86,91,95,96,96,0.032592648934602245,0.19992222185829864,0.3714693754189226,0.0668321115121044,0.1116388800147542,16.60015874492218,3,accepted,up,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.011216781102120876,7,"[96, 25889]",2.9968987495913084,30.68176514300874,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,938.905347493169,2,5,21,40,68,0.8668640201713799,0.9839860631382659,0.9974319154306684,0.9472573942509248,0.966205384750479,1.4113967334695334,3,accepted,down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.011216781102120876,7,"[25889, 96]",1.3140884458704045,1.1535834649156382,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,3275103.068291407,1,1,4,17,28,0.9635108139455231,0.9989724091862564,0.9999643496485918,0.9916682307008221,0.9956991644173075,3.7672173198890104,3,accepted,effective_up_down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.011216781102120876,7,"[96, 96]",3.697847278451691,1.0378710705955192,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,1.1259279293421631,86,91,95,96,96,0.01164163091606699,0.18187874585908562,0.3570503764459935,0.04627725044173168,0.09195653073852894,16.41935427734636,4,unused_sample,up,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.009999999776482582,7,"[96, 25889]",1.771589048170163,85.8986174024696,
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,unused_sample,down,0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.009999999776482582,7,"[25889, 96]",0.0,0.0,
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,unused_sample,effective_up_down,0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.009999999776482582,7,"[96, 96]",0.0,0.0,
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,1.1253515253612218,86,91,95,96,96,0.011697195042772121,0.18220548596604344,0.35703749767055293,0.04649882951577534,0.09225304791358803,16.424170705912463,5,unused_sample,up,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.009999999776482582,7,"[96, 25889]",1.776332721876142,85.49058097632692,
